	car_id	colour	make	model	camera_id	bearing	duration
50	1NBMLI85674	Purple	Toyota	RAV4	17398	194.56369259335565	120
51	1NFKZB84844	Silver	Volkswagen	Atlas	766	209.9536081672747	270
52	1ROFYY93789	Purple	Chevrolet	Malibu	16619	292.2900224187603	90
53	1ROXTQ97470	Silver	Volkswagen	Passat	4465	270.22843430056366	240
54	1XFWSN42579	Purple	Volkswagen	Passat	4738	290.1924005804284	90
55	1ZXXLZ34316	Red	Mercedes-Benz	C-Class	16390	298.9959595136437	240
56	1LLATZ05401	Orange	Nissan	Rogue	24243	114.99998209143837	270
57	1YSDCT38763	Black	Nissan	Altima	13850	180.1010506539254	60
58	1CALIU79550	Red	Chevrolet	Equinox	20286	177.46512327050493	180
59	1JMZWV79238	Black	Ford	Mustang	18036	259.6375409023271	300
60	1DHLJT18915	Yellow	Toyota	Highlander	19429	0.6199810539836221	120
61	1KZAXB25705	Yellow	BMW	X5	18938	270.2595487546404	120
62	1CLBDD04795	Orange	Ford	Explorer	7846	100.16208319603686	210
63	1NCBPF25695	Orange	BMW	X3	3332	265.4860115431195	180
64	1THTYY51187	Yellow	BMW	X5	3514	49.76364168949783	270
65	1KKVYD21291	Silver	Mercedes-Benz	C-Class	1771	270.8010206247542	240
66	1QDKGP93045	Purple	Hyundai	Sonata	4738	290.1924005804284	210
67	1PDHJK63938	Green	Ford	Mustang	20697	59.56576424542163	270
68	1WMOHZ46204	Red	Audi	A4	24699	107.10272897675446	270
69	1AKDRN87393	Orange	Toyota	Highlander	16006	152.24145940188373	90
70	1SNHBG86087	Yellow	Volkswagen	Atlas	16006	332.2414594018837	300
71	1DXWDB35231	Green	BMW	X5	16006	332.2414594018837	150
72	1JCWGK28309	Orange	Toyota	RAV4	2029	179.73365566429914	240
73	1DCLMH73503	Purple	Audi	A4	3070	216.15406906752696	240
74	1HLAZG49018	Purple	Nissan	Rogue	9239	229.67813548217367	270
75	1KCJTJ42281	Red	Ford	Mustang	5380	252.3387211458351	90
76	1OWLNR46125	Red	Volkswagen	Passat	9904	180.9710219332227	120
77	1IBONV32324	Green	Mercedes-Benz	GLA	20286	357.46512327050493	270
78	1FYWPW28182	Blue	Mercedes-Benz	GLA	9904	180.9710219332227	150
79	1YTDYS60516	Black	Audi	A6	15280	1.3859178510635957	120
80	1IHXPT71207	Gray	Nissan	Pathfinder	664	44.06080904988926	300
81	1ANBPY16258	Red	Audi	Q3	23938	338.89305080137325	300
82	1NMACJ58546	Green	Ford	F-150	1649	85.36453657276502	90
83	1ZJDZB88645	Black	Nissan	Murano	17292	100.57352341933023	120
84	1FXDBW05654	Orange	Chevrolet	Impala	8499	218.90413845305181	270
85	1ELZUN90447	Black	Honda	Pilot	17398	14.563692593355654	240
86	1PCUDF21853	Red	BMW	7 Series	2029	359.73365566429914	150
87	1OXFHG95672	Silver	Hyundai	Santa Fe	1567	36.00875272403971	300
88	1EYMZG55108	Green	Hyundai	Elantra	16278	230.63577093468223	60
89	1JKBVD62126	Orange	Honda	Accord	20697	239.56576424542163	90
90	1WUHFJ55723	Yellow	Hyundai	Elantra	5380	72.33872114583511	60
91	1BOBMP11119	Orange	Ford	F-150	16390	298.9959595136437	300
92	1AQYNM79512	Green	Hyundai	Elantra	664	224.06080904988923	180
93	1PROQL76774	Silver	Volkswagen	Tiguan	1733	138.7240579729754	240
94	1OQRWA33541	Yellow	Audi	Q5	20697	59.56576424542163	240
95	1IGPWZ38722	Gray	Hyundai	Santa Fe	3514	49.76364168949783	90
96	1JIBZD32900	Red	Ford	Fusion	1649	265.364536572765	180
97	1KTDYX44731	Yellow	Honda	Pilot	20286	357.46512327050493	240
98	1KDKDL93720	Gray	Ford	Explorer	13953	311.08389026749364	300
99	1PZRHZ61962	Yellow	BMW	X3	3514	229.76364168949783	90
