	camera_id	camera_location	bearing	street_name	LG_name	CWY
89	29684	POINT (116.053294 -31.884818)	260.340106920998	Churchill Dr	Mundaring	Single
90	29689	POINT (116.271041 -31.859084)	270.02116187511166	Clifton St	Mundaring	Single
91	30017	POINT (116.188437 -31.927948)	90.0	McCallum Rd	Mundaring	Single
93	31444	POINT (116.215749 -31.881585)	305.5873705615929	Bernard St	Mundaring	Single
94	31478	POINT (116.234963 -31.8773)	211.10880882663778	Silia Rtt	Mundaring	Single
97	31705	POINT (116.21439 -31.887247)	325.17615925670174	Alps St	Mundaring	Single
98	31809	POINT (115.972354 -32.073811)	147.31306345800817	Farringdon Wy	Gosnells (C)	Single
99	31966	POINT (116.252205 -31.844286)	349.7900589000874	Leschenaultia Pl	Mundaring	Single
101	32639	POINT (116.031854 -31.910706)	74.56776971388763	Lakeside Dr	Mundaring	Single
102	32677	POINT (116.210694 -31.873442)	80.17472295803657	Honey St	Mundaring	Single
103	32794	POINT (116.210708 -31.878651)	61.38954033351615	George St	Mundaring	Single
104	33239	POINT (116.166053 -31.95359)	216.7380824352276	Weir Village Rd	Mundaring	Single
105	33561	POINT (116.152513 -31.894936)	84.12260739318265	Thomas Rd	Mundaring	Single
106	34109	POINT (116.212141 -31.897405)	349.50852298734446	Malabar Rd	Mundaring	Single
107	34777	POINT (116.047487 -31.893586)	287.66632090613075	Damascus Dr	Mundaring	Single
108	34896	POINT (116.061325 -31.902847)	301.3099503835136	Pittersen Rd	Mundaring	Single
109	34969	POINT (116.063786 -31.88784)	133.29168490313583	Parkway	Mundaring	Single
110	35516	POINT (116.067176 -31.887497)	341.8619178425994	Alidja L	Mundaring	Single
113	36266	POINT (115.820622 -32.121717)	197.6710503585186	Tern Loop	Cockburn (C)	Single
114	36378	POINT (115.843831 -32.139259)	173.48019824719483	Wedgetail Cr	Cockburn (C)	Single
115	36431	POINT (115.759132 -32.062559)	77.39468668282626	McAtee Ct	Fremantle (C)	Single
116	36495	POINT (115.757014 -32.030472)	130.51230098927442	Corkhill St	Fremantle (C)	Single
118	36619	POINT (115.783031 -32.059412)	268.6062170972899	Clarke St	Fremantle (C)	Single
119	36706	POINT (115.762291 -32.052985)	0.0	Amherst St	Fremantle (C)	Single
120	37872	POINT (115.763656 -32.321292)	144.61972779873253	Oxenholme Wy	Rockingham (C)	Single
121	38016	POINT (115.75822 -32.35607)	229.811534501898	Westminster Gr	Rockingham (C)	Single
122	38520	POINT (115.748135 -32.349651)	190.89550368629403	Grand Ocean Bvd	Rockingham (C)	Single
123	38762	POINT (115.804777 -32.347148)	89.62955831154824	Cleland Cr	Rockingham (C)	Single
124	38959	POINT (115.809549 -32.340988)	61.38954033208995	Wibberley Loop	Rockingham (C)	Single
126	39378	POINT (115.758374 -32.308502)	154.70843513989053	Labyrinth St	Rockingham (C)	Single
129	40188	POINT (115.766036 -32.406017)	12.03059609350288	Maroubra Pde	Rockingham (C)	Single
132	40853	POINT (115.749843 -32.300497)	142.93555037092494	Breaden Dr	Rockingham (C)	Single
133	40901	POINT (115.76169 -32.339081)	358.2642954105487	Coronata Dr	Rockingham (C)	Single
134	41077	POINT (115.743039 -32.286163)	80.13419305604413	Chalgrove Av	Rockingham (C)	Left
135	41173	POINT (115.755613 -32.353692)	167.92786265350878	La Manche Av	Rockingham (C)	Single
136	43202	POINT (115.759265 -32.358933)	241.6872148870816	Anjou Grn	Rockingham (C)	Single
138	43456	POINT (115.749497 -32.300122)	235.40582291784946	Varley Cr	Rockingham (C)	Single
139	43799	POINT (115.751718 -32.373238)	1.3779832456370968	Mayflower Cl	Rockingham (C)	Single
142	44709	POINT (115.818173 -32.327763)	354.3405181593467	Kookynie Loop	Rockingham (C)	Single
143	45284	POINT (115.711821 -32.301113)	88.47473314223123	Royal Rd	Rockingham (C)	Single
144	45405	POINT (115.761868 -32.354452)	321.146625656027	Castlereagh Cir	Rockingham (C)	Single
147	46101	POINT (115.766161 -32.356805)	327.9946167945304	Laguardia Loop	Rockingham (C)	Single
148	46151	POINT (115.805044 -32.32655)	264.8055710913118	Oak Wy	Rockingham (C)	Single
149	46389	POINT (115.768483 -32.346141)	92.0095538115819	Sarah Ann Cr	Rockingham (C)	Single
153	47508	POINT (115.807061 -32.345424)	47.37605521711765	Danks Vsta	Rockingham (C)	Single
154	47541	POINT (115.806112 -32.343033)	55.14079314652997	Tranby Dr	Rockingham (C)	Single
155	48015	POINT (115.820973 -32.329313)	249.33947905652877	Mennock App	Rockingham (C)	Single
156	48236	POINT (115.717828 -32.292948)	66.41296947656747	Lexar Bend	Rockingham (C)	Single
159	48975	POINT (115.738818 -32.277911)	266.97130142175604	Commodore Dr	Rockingham (C)	Single
160	49036	POINT (115.764669 -32.336789)	86.61936773661785	Bandera Cl	Rockingham (C)	Single
161	49256	POINT (115.753081 -32.445924)	6.564684294136953	Murdoch Dr	Rockingham (C)	Single
162	49317	POINT (115.761253 -32.429258)	133.53119928597084	Minderoo Cr	Rockingham (C)	Single
164	49789	POINT (115.818767 -32.34075)	228.2633313172362	Makybe Dr	Rockingham (C)	Single
165	50356	POINT (115.849755 -32.355774)	304.6727461073151	Serpentine Rd	Rockingham (C)	Single
166	51006	POINT (115.744525 -32.323792)	275.1162743444033	Hilda Rd	Rockingham (C)	Single
167	51129	POINT (115.745369 -32.318254)	150.1467880455417	Chalmers Av	Rockingham (C)	Single
169	51430	POINT (115.721733 -32.298855)	247.55724663930764	Edmonds Cove	Rockingham (C)	Single
170	51806	POINT (115.740056 -32.283661)	352.1339316309417	Leeuwin Pde	Rockingham (C)	Single
171	51889	POINT (115.747197 -32.329007)	66.69115475566986	Hanretty St	Rockingham (C)	Single
172	52064	POINT (115.743064 -32.280819)	156.5267115003344	McNicholl St	Rockingham (C)	Single
173	52104	POINT (115.758965 -32.410413)	84.64417495777536	Clarkshill Rd	Rockingham (C)	Single
174	52217	POINT (115.752676 -32.426838)	71.49576973688824	Dampier Dr	Rockingham (C)	Single
175	52738	POINT (115.75056 -32.312775)	66.6802037269955	Investigator Dr	Rockingham (C)	Single
178	53191	POINT (115.76727 -32.264468)	0.6575742468726276	Alumina Rd	Rockingham (C)	Single
179	53221	POINT (115.845313 -31.916604)	269.73326179887863	Ellesmere St	Vincent (C)	Single
180	53670	POINT (115.967853 -32.083805)	33.23171106696327	Tattler Pl	Gosnells (C)	Single
181	54161	POINT (115.956555 -32.095665)	49.05554341552818	Newmerrie St	Gosnells (C)	Single
183	54779	POINT (116.003119 -32.089658)	244.69862137396743	Brett Pl	Gosnells (C)	Single
184	55639	POINT (115.9522 -32.102102)	18.415480328875958	Castlewood Pwy	Gosnells (C)	Single
185	56121	POINT (115.963089 -32.059535)	251.06393468780146	Regency Dr	Gosnells (C)	Single
186	56379	POINT (115.95539 -32.098741)	33.13850064905921	Welford Prom	Gosnells (C)	Single
187	56656	POINT (115.927659 -32.095293)	44.877311151597155	Jilakin Loop	Gosnells (C)	Single
188	57462	POINT (115.946138 -32.093455)	129.26137108981192	Yangtze Av	Gosnells (C)	Single
189	58114	POINT (115.93522 -32.039743)	285.3033474628634	Langford Av	Gosnells (C)	Single
190	58498	POINT (115.943198 -32.072709)	230.96311717546646	Hollyoak Pl	Gosnells (C)	Single
192	58709	POINT (116.062182 -32.077622)	270.053236481284	Warfield Pl	Gosnells (C)	Single
193	58756	POINT (116.001847 -32.05482)	48.20852104377383	Sheoak Rd	Gosnells (C)	Single
195	59240	POINT (115.962199 -32.011876)	130.35750751373303	Diamond St	Gosnells (C)	Single
196	59454	POINT (115.958064 -32.069919)	134.4959445615757	Victoria Ct	Gosnells (C)	Single
197	59516	POINT (115.952044 -32.074096)	202.39759795216014	Stonecreek Cl North	Gosnells (C)	Single
198	59592	POINT (115.933487 -32.089094)	80.74801377605547	Frampton Cr	Gosnells (C)	Single
199	59820	POINT (115.985594 -32.090886)	292.9098453284338	Wooramel Cr	Gosnells (C)	Single
200	60029	POINT (115.96099 -32.068775)	91.03691446370516	Knightsbridge Wy	Gosnells (C)	Single
201	60275	POINT (115.93335 -32.090215)	211.32869286948878	Luton Ct	Gosnells (C)	Single
202	60419	POINT (115.988047 -32.090129)	201.39981013024547	Gascoyne Dr	Gosnells (C)	Single
203	61202	POINT (115.962199 -32.011876)	49.3650349694048	Lacey St	Gosnells (C)	Single
205	61847	POINT (116.002925 -32.048169)	128.02297069903705	Aroona Wy	Gosnells (C)	Single
206	62055	POINT (115.9662 -32.02992)	115.70074075999878	Streatham St	Gosnells (C)	Single
207	62157	POINT (115.921158 -32.078234)	0.0	Montezuma Loop	Gosnells (C)	Single
209	62434	POINT (115.956877 -32.050718)	6.009005941879309	Spencer Rd Svc Rd Nth (A)	Gosnells (C)	Single
210	62522	POINT (115.968911 -32.097254)	130.34097991719284	Bradley St	Gosnells (C)	Single
211	62972	POINT (115.951915 -32.104395)	28.10135130835056	Fridayhill Dr	Gosnells (C)	Single
212	62980	POINT (115.976554 -32.089216)	225.44414442885537	Balgarup Dr	Gosnells (C)	Single
214	63842	POINT (115.937943 -32.104424)	335.29756977411034	Boardwalk Bvd	Gosnells (C)	Single
215	64329	POINT (115.698393 -31.674369)	262.8749836507186	Gordon Av	Wanneroo (C)	Single
218	65217	POINT (115.632626 -31.539692)	2.847443538888456	Stringybark Wy	Wanneroo (C)	Single
220	66056	POINT (115.779348 -32.017958)	217.49565384465566	Riverside Dr	Mosman Park (T)	Single
222	66525	POINT (115.708728 -31.565953)	272.3934728898915	Old Yanchep Rd	Wanneroo (C)	Single
223	66808	POINT (115.845467 -32.130063)	150.75117366386144	Delaronde Dr	Cockburn (C)	Single
227	67152	POINT (115.87051 -32.147425)	220.8150838652458	Kanji Loop	Cockburn (C)	Single
228	67241	POINT (115.781541 -32.110391)	66.61477893527035	Zlinya Cir	Cockburn (C)	Single
229	67275	POINT (115.804263 -32.121017)	112.46058400221284	Magnolia Gdns	Cockburn (C)	Single
230	67729	POINT (115.748759 -31.729096)	270.2973802682128	De Crillon Wy	Joondalup (C)	Single
231	67831	POINT (115.753014 -31.740736)	233.88065914748017	Newmarket Rtt	Joondalup (C)	Single
232	67838	POINT (115.765747 -31.740927)	8.36588611506994	Lawley Ct	Joondalup (C)	Single
233	68124	POINT (115.734237 -31.806717)	22.445784728190688	Waratah Mews	Joondalup (C)	Single
234	68554	POINT (116.063886 -31.982999)	68.81406074831841	Stanhope Rd	Kalamunda	Single
235	69260	POINT (115.744899 -31.732472)	89.7153533307636	Palace Wy	Joondalup (C)	Single
236	69428	POINT (115.757312 -31.823438)	174.7953415301629	Mackerel Ct	Joondalup (C)	Single
237	69473	POINT (115.798125 -31.789414)	281.97326779867313	Karri Ct	Joondalup (C)	Single
238	69792	POINT (115.755582 -31.742816)	351.3218311153929	Congressional Cr	Joondalup (C)	Single
239	69873	POINT (115.748737 -31.753376)	77.28026010255735	Baltusrol Rise	Joondalup (C)	Single
241	70560	POINT (115.732461 -31.735669)	333.72578784487916	Naturaliste Bvd	Joondalup (C)	Single
242	70794	POINT (115.742724 -31.73417)	152.02052561260507	Wilcannia Elb	Joondalup (C)	Single
243	70806	POINT (115.744103 -31.73451)	87.34931031649461	Wilcannia Elb	Joondalup (C)	Single
244	71400	POINT (115.733994 -31.800953)	276.2916536410263	Clearwater Pl	Joondalup (C)	Single
245	71437	POINT (115.737132 -31.727187)	78.23171106765676	Corio L	Joondalup (C)	Single
246	71465	POINT (115.741 -31.730441)	37.9508218328524	Blythe L	Joondalup (C)	Single
247	71650	POINT (115.719089 -31.723929)	259.7559125531694	Southport Loop	Joondalup (C)	Single
248	71788	POINT (115.745316 -31.74553)	92.50770172737475	Dorado Beach Cr	Joondalup (C)	Single
249	72028	POINT (115.748795 -31.73649)	68.19859051401761	Meadowbrook Prom	Joondalup (C)	Single
250	72072	POINT (115.779904 -31.756547)	268.34996060438425	Lucerne Gdns	Joondalup (C)	Single
251	72155	POINT (115.744689 -31.73441)	211.52217724575942	Everett L	Joondalup (C)	Single
252	72219	POINT (115.741236 -31.736921)	160.61548432115978	Guardian Loop	Joondalup (C)	Single
253	72382	POINT (115.718067 -31.725688)	312.0492208921588	Beachside Dr	Joondalup (C)	Single
254	72436	POINT (115.737052 -31.738621)	78.84798960536995	Hobsons Gte	Joondalup (C)	Single
255	72715	POINT (115.742937 -31.80511)	290.2564621742184	New England Dr	Joondalup (C)	Single
256	73662	POINT (115.755956 -31.819798)	90.7742201657457	Trout Ct	Joondalup (C)	Single
258	75085	POINT (115.769821 -31.749531)	14.772534238516869	Grand Bvd	Joondalup (C)	Right
260	75664	POINT (115.744016 -31.730838)	98.73818901190089	Kooringa Pl	Joondalup (C)	Single
262	76091	POINT (115.735907 -31.735796)	13.324531259888602	Half Penny Ch	Joondalup (C)	Single
263	76099	POINT (115.756392 -31.82194)	43.66212521257171	Herring Ct	Joondalup (C)	Single
264	76132	POINT (115.794798 -31.801579)	88.83875809189038	Garrow Ct	Joondalup (C)	Single
267	76624	POINT (115.747935 -31.743084)	59.30027744985745	Merion Pl	Joondalup (C)	Single
268	76680	POINT (115.737387 -31.729207)	269.2257798342543	Langley Mews	Joondalup (C)	Single
269	76930	POINT (115.765631 -31.728525)	53.83341465022539	Candlewood Bvd	Joondalup (C)	Single
270	77467	POINT (115.72338 -31.725698)	258.3885135763387	Broulee L	Joondalup (C)	Single
271	77819	POINT (115.814518 -31.804227)	115.14478563088738	Lakeway Dr	Joondalup (C)	Single
272	77820	POINT (115.814812 -31.804365)	108.13179937911218	Lakeway Dr	Joondalup (C)	Single
273	78850	POINT (115.845372 -31.84979)	90.83169283832154	Finchley Cr	Stirling (C)	Single
274	79889	POINT (115.793095 -31.999153)	89.76915604557564	Minora Rd	Nedlands (C)	Single
277	81286	POINT (115.801099 -31.719247)	166.8274465760179	Eiffel Cct	Wanneroo (C)	Single
278	81684	POINT (115.91992 -32.140574)	206.56505118095524	Fairweather Dr	Armadale (C)	Single
279	81710	POINT (116.000601 -32.165096)	160.46334506074288	Kestrel Cir	Armadale (C)	Single
281	83473	POINT (116.016009 -32.129161)	45.0	Valentine Rd	Armadale (C)	Single
283	83759	POINT (116.077262 -32.112436)	90.48177721778626	Valley View Rd	Armadale (C)	Single
284	83880	POINT (116.007067 -32.164406)	11.21063312830438	Masuli Wy	Armadale (C)	Single
285	84140	POINT (116.040097 -32.127132)	94.01958248644075	Anderson Pl	Armadale (C)	Single
286	84275	POINT (115.935062 -32.118598)	136.33221985680382	Silvershot Av	Armadale (C)	Single
287	84283	POINT (115.937511 -32.120889)	129.40880534193184	Silvershot Av	Armadale (C)	Single
289	84938	POINT (115.921253 -32.121587)	310.0216446608506	Mansfield Wy	Armadale (C)	Single
292	85264	POINT (116.082744 -32.110749)	279.5179491608068	Westborne Rd	Armadale (C)	Single
293	85265	POINT (116.082577 -32.110721)	269.8804845714839	Westborne Rd	Armadale (C)	Single
294	85322	POINT (115.994234 -32.119061)	106.57610335610855	Tewson Rd	Armadale (C)	Single
295	85350	POINT (116.048217 -32.12815)	129.17365797024286	Scott Rd	Armadale (C)	Single
296	85545	POINT (115.995938 -32.118723)	286.79423778754375	Grovelands Dr	Armadale (C)	Single
297	85619	POINT (116.005436 -32.168604)	132.0152135590663	Hastie Cl	Armadale (C)	Single
298	85639	POINT (115.996926 -32.149277)	309.93753177345405	Girraween St	Armadale (C)	Single
299	86196	POINT (116.02281 -32.145763)	355.05403345173767	Binburra Wy	Armadale (C)	Single
300	86202	POINT (115.99698 -32.15597)	191.65929265017795	Baryna St	Armadale (C)	Single
301	86255	POINT (116.002047 -32.170059)	166.9347784639574	Ashworth Wy	Armadale (C)	Single
302	86688	POINT (115.932655 -32.103303)	300.8720833626551	Amanita Av	Armadale (C)	Single
303	86731	POINT (115.919914 -32.130811)	273.1652063882243	Mason Rd	Armadale (C)	Single
304	87090	POINT (115.926708 -32.12084)	332.83501494205433	Crested Turn	Armadale (C)	Single
305	87099	POINT (115.926933 -32.119757)	49.09641711572084	Crested Turn	Armadale (C)	Single
306	87139	POINT (116.008106 -32.183114)	151.20072299664815	Wilson St	Armadale (C)	Single
307	87465	POINT (115.930055 -32.137337)	17.87869660121322	St Tropez Gdns	Armadale (C)	Single
308	87476	POINT (116.012403 -32.158251)	317.9356734414157	Hobbs Dr Svc Rd	Armadale (C)	Single
309	88090	POINT (116.063764 -32.188599)	302.5548968034989	Wallangarra Dr Sth	Armadale (C)	Single
311	89456	POINT (115.910216 -32.140365)	32.061943682727815	Ethridge St	Armadale (C)	Single
313	90197	POINT (115.992283 -32.132758)	0.8425242585398109	Reveley Cl	Armadale (C)	Single
314	90232	POINT (116.069654 -32.180435)	352.1847064520553	Dmietrieff Rd	Armadale (C)	Single
315	91957	POINT (115.783708 -32.134806)	274.3160275159746	Gicha Cir	Cockburn (C)	Single
317	92240	POINT (115.859069 -32.176012)	293.4184504451389	Teocote Cr	Cockburn (C)	Single
318	93012	POINT (115.785131 -31.719271)	344.76459088638063	Maryland Dr	Wanneroo (C)	Single
319	93788	POINT (115.852287 -32.061218)	6.501386073711785	Endeavour Av	Melville (C)	Single
320	93972	POINT (115.892526 -31.92021)	130.70870903479886	Stuart St	Bayswater (C)	Single
321	94076	POINT (115.852227 -32.082813)	151.4567691442207	Casserly Dr	Cockburn (C)	Single
322	94153	POINT (115.812154 -31.762761)	92.00860219810954	Elliot Rd	Wanneroo (C)	Single
324	94946	POINT (115.785681 -31.978435)	120.17352002396717	Shenton Rd	Claremont (T)	Single
325	95009	POINT (115.766924 -31.9821)	334.9164059918438	Servetus St	Claremont (T)	Single
327	95762	POINT (115.659278 -31.549198)	277.95752522694795	Linksman St	Wanneroo (C)	Single
328	96013	POINT (115.720063 -31.683154)	207.84757825956154	Waring Grn	Wanneroo (C)	Single
329	96016	POINT (115.720216 -31.683837)	157.91282839647795	Waring Grn	Wanneroo (C)	Single
330	96084	POINT (115.824216 -31.812391)	272.75910765888557	Hollins Bend	Wanneroo (C)	Single
331	96145	POINT (115.710826 -31.689759)	42.463238262462596	Abbeville Cir	Wanneroo (C)	Single
332	96149	POINT (115.711056 -31.689007)	334.9217441095172	Abbeville Cir	Wanneroo (C)	Single
333	96293	POINT (115.799141 -31.711783)	259.0771952822146	Colwyn Loop	Wanneroo (C)	Single
335	97167	POINT (115.674595 -31.597014)	334.32318432384835	Broadside Av	Wanneroo (C)	Single
336	97816	POINT (115.702899 -31.629471)	209.24882634018334	Kendal Turn	Wanneroo (C)	Single
337	97900	POINT (115.74964 -32.062084)	334.7326894993574	Marine Tce	Fremantle (C)	Left
338	98098	POINT (115.908094 -32.015151)	32.10625594411181	Hopkinson Wy	Canning (C)	Single
339	98330	POINT (115.896788 -32.022997)	136.3971810287486	Riverton Dr	Canning (C)	Single
340	98449	POINT (115.899984 -32.085142)	88.38439352300071	Livingstone Dr	Canning (C)	Single
341	99146	POINT (115.889817 -31.969084)	303.07986548289944	Albany Hwy	Victoria Park (T)	Single
342	99253	POINT (115.82951 -31.871073)	346.80532892379546	Hunston St	Stirling (C)	Single
343	99825	POINT (115.81019 -32.068067)	267.27368900333056	Gillett Dr	Melville (C)	Single
344	100011	POINT (115.851919 -31.845572)	90.02696271780815	Pannell Wy	Wanneroo (C)	Single
345	100146	POINT (115.804145 -32.069942)	304.7130977137092	Tangney Cr	Melville (C)	Single
346	100339	POINT (115.942844 -31.997362)	229.33457002411998	Hamilton St	Canning (C)	Single
347	100620	POINT (115.902266 -32.014455)	196.52579639078414	Volta Wy	Canning (C)	Single
348	100636	POINT (115.9054 -32.009619)	153.267906206872	Bunning St	Canning (C)	Single
350	101319	POINT (115.843692 -32.088622)	215.59921995838528	Greenham Pl	Cockburn (C)	Single
351	101426	POINT (115.847422 -32.097563)	148.53585636707226	Bloodwood Cir	Cockburn (C)	Single
353	102069	POINT (115.868978 -32.123257)	315.54565759592646	Verde Dr	Cockburn (C)	Left
354	102311	POINT (115.804108 -31.712547)	169.70781185155533	Bingarra Cr	Wanneroo (C)	Single
355	102528	POINT (115.924329 -32.049363)	310.1559996249876	Waverley Wy	Canning (C)	Single
357	103893	POINT (115.874091 -32.024257)	273.98591869628007	Howard Pde	South Perth (C)	Single
358	104053	POINT (115.822531 -31.895307)	134.16749112200387	White St	Stirling (C)	Single
359	104073	POINT (115.858962 -32.079419)	272.9814612209514	Farrington Rd	Melville (C)	Right
362	104639	POINT (115.869616 -31.950039)	283.228603156473	East Pde to Lord St	Perth (C)	Single
363	104692	POINT (115.774089 -32.109463)	0.5886345584532364	Sumich Gdns	Cockburn (C)	Single
364	105091	POINT (115.775432 -32.154945)	149.32624132062892	Sparks Rd	Cockburn (C)	Single
365	105214	POINT (115.860126 -32.152612)	270.9443504034568	Angelica Wy	Cockburn (C)	Single
366	105284	POINT (115.775841 -32.103843)	89.18154454030503	Butter L	Cockburn (C)	Single
367	105406	POINT (115.848787 -32.134936)	188.90171603029637	Derwent Cr	Cockburn (C)	Single
370	105847	POINT (115.865706 -32.172115)	268.2576998336398	Camden Bvd	Cockburn (C)	Single
371	105924	POINT (115.757039 -31.946553)	259.39614174031317	Falmouth Av	Cambridge (T)	Single
372	106692	POINT (115.824661 -31.804925)	131.3477772202076	Susan Rd	Wanneroo (C)	Single
373	106698	POINT (115.789146 -31.721178)	79.04593735578499	Jubata Turn	Wanneroo (C)	Single
374	106766	POINT (115.774007 -31.961643)	180.2700063873495	Rochdale Rd	Cambridge (T)	Single
375	107082	POINT (115.782382 -31.84708)	94.96974072856858	Elmton Wy	Stirling (C)	Single
376	108249	POINT (115.796097 -31.846969)	144.7028572336169	Cador Ct (Cul-De-Sac)	Stirling (C)	Single
377	108554	POINT (116.06323 -32.339242)	119.47588900518991	Munro St	Serpentine - Jarrahdale	Single
