	camera_id	camera_location	bearing	street_name	LG_name	CWY
64	22191	POINT (115.949788 -31.927175)	62.4528316603251	Great Eastern Hwy	Belmont (C)	Single
65	22286	POINT (115.941105 -31.93239)	60.292987685688104	Great Eastern Hwy	Belmont (C)	Right
66	22829	POINT (115.925036 -32.007199)	232.53944513974724	Leach Hwy(Westbound) off to Albany Hwy	Canning (C)	Single
67	22912	POINT (115.889471 -32.058348)	359.2788324700388	Vahland Av	Canning (C)	Left
68	23007	POINT (116.014537 -31.94004)	351.2538377386214	Kalamunda Rd	Kalamunda	Left
69	23300	POINT (115.971343 -32.002619)	104.80641666739297	Rivervale Wattle Grove Link	Canning (C)	Left
70	23586	POINT (116.043065 -31.938225)	37.03324939005256	Ridge Hill Rd	Kalamunda	Single
71	23665	POINT (116.166545 -32.05041)	132.72955032971356	Pickering Brook Rd	Kalamunda	Single
73	23881	POINT (115.982816 -31.978015)	40.44623202160176	Abernethy Rd	Kalamunda	Right
74	24114	POINT (115.922912 -32.04477)	311.0594844955981	High Rd	Canning (C)	Left
75	24521	POINT (115.967117 -31.972574)	68.28606491800343	Horrie Miller Dr	Belmont (C)	Left
77	24884	POINT (115.961052 -31.980739)	117.3635469253162	Abernethy Rd	Belmont (C)	Left
78	25066	POINT (116.100044 -32.03138)	126.73808243569448	Canning Rd	Kalamunda	Single
79	25370	POINT (116.016999 -32.004528)	92.99908693529511	Welshpool Rd East	Kalamunda	Left
80	25997	POINT (116.105568 -32.072452)	166.6889808320267	Canning Rd	Kalamunda	Single
81	26447	POINT (116.002222 -32.022129)	159.35473225316048	Tonkin Hwy	Kalamunda	Left
